latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15.68055,75.19746,329.44,0.35,0.56,2025-11-05,0737,N21,VIIRS,n,2.0NRT,296.75,4.77,D
15.87879,75.51228,337.2,0.33,0.55,2025-11-05,0737,N21,VIIRS,n,2.0NRT,294.43,3.16,D
15.87122,75.44801,329.99,0.33,0.55,2025-11-05,0737,N21,VIIRS,n,2.0NRT,293.53,2.36,D
17.29893,81.27161,330.55,0.43,0.38,2025-11-05,0737,N21,VIIRS,n,2.0NRT,299.44,3.41,D
9.19774,77.81065,338.58,0.6,0.53,2025-11-05,0737,N21,VIIRS,n,2.0NRT,297.53,8.27,D
9.19608,77.8077,340.6,0.6,0.53,2025-11-05,0737,N21,VIIRS,n,2.0NRT,298.06,10.27,D
9.92006,78.27316,336.79,0.55,0.51,2025-11-05,0737,N21,VIIRS,n,2.0NRT,293.19,6.39,D
12.22723,78.33173,343.79,0.49,0.49,2025-11-05,0737,N21,VIIRS,n,2.0NRT,295.06,12.44,D
12.22669,78.33369,341.63,0.49,0.49,2025-11-05,0737,N21,VIIRS,n,2.0NRT,293.45,10.2,D
14.08214,75.29546,334.97,0.37,0.58,2025-11-05,0737,N21,VIIRS,n,2.0NRT,295.54,3.44,D
15.16381,75.43439,340.6,0.34,0.56,2025-11-05,0737,N21,VIIRS,n,2.0NRT,297.72,4.07,D
24.50945,80.68796,331.85,0.4,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299.32,3.77,D
24.4804,81.12355,335.33,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.9,3.26,D
24.39753,80.90362,342.97,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.84,5.18,D
23.83326,77.75371,333.85,0.52,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.74,3.62,D
23.8832,78.31369,334.82,0.49,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.43,3.68,D
23.70743,77.41273,331.59,0.54,0.42,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.52,6.29,D
23.93912,78.90031,333.68,0.46,0.39,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.45,3.12,D
23.76343,79.40157,331.74,0.44,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,296.48,2.46,D
23.61914,78.67521,331.31,0.47,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.96,4.35,D
24.15562,82.39281,329.71,0.38,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.91,2.1,D
23.79082,80.36336,332.86,0.41,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,297,2.73,D
23.8034,80.50272,330.7,0.4,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,297.67,2.81,D
23.62267,79.7984,336.65,0.42,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.65,5.14,D
23.42172,78.98585,335.89,0.46,0.39,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.35,4.09,D
23.08457,77.42499,332.35,0.55,0.43,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.96,12.56,D
24.57149,77.89931,342.85,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.36,9.01,D
24.54799,77.85419,332.58,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.16,3.08,D
24.57072,77.97926,331.77,0.49,0.4,2025-11-05,0739,N21,VIIRS,l,2.0NRT,302.44,3.06,D
24.51558,77.71918,332.05,0.51,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,305.35,3.52,D
24.53684,78.08502,335.94,0.49,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.64,4.56,D
24.53751,78.08758,333.08,0.49,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.89,5.21,D
24.53219,78.07893,332.78,0.49,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.3,2.57,D
24.52263,78.04655,333.39,0.49,0.4,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.93,3.87,D
24.37573,77.47095,332.39,0.53,0.42,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.85,2.86,D
24.8406,80.54047,330.34,0.4,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299.47,2.4,D
24.38867,77.90905,333.92,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.15,2.7,D
24.3672,77.93861,334.9,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.43,6.95,D
24.36351,77.93939,345.28,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.52,6.95,D
24.3573,78.01052,333.09,0.49,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.3,5.68,D
24.36076,78.02964,331.8,0.49,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299.8,1.96,D
24.74789,80.28873,330.81,0.4,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,298.88,2.86,D
24.32626,77.88204,331.25,0.5,0.41,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.36,1.8,D
24.7625,80.58775,338.93,0.4,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.85,7.52,D
24.83542,81.10315,332.79,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299.66,7.29,D
24.79729,80.88644,331.74,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.18,3.87,D
22.75329,77.94444,333.59,0.53,0.42,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.7,5.94,D
17.78355,83.36402,340.47,0.38,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.66,4.87,D
16.40877,74.43767,328.31,0.38,0.59,2025-11-05,0739,N21,VIIRS,n,2.0NRT,294.46,3.11,D
18.20352,83.88644,332.97,0.38,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.25,2.82,D
16.56516,74.16706,333.56,0.39,0.59,2025-11-05,0739,N21,VIIRS,n,2.0NRT,293.44,3.77,D
18.59696,83.21326,334.13,0.38,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.33,4.02,D
17.29743,74.16915,336.99,0.38,0.59,2025-11-05,0739,N21,VIIRS,n,2.0NRT,293.15,4.02,D
19.09725,82.16644,334.4,0.39,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.52,5.52,D
18.42175,77.98685,336.12,0.41,0.45,2025-11-05,0739,N21,VIIRS,n,2.0NRT,293.17,4.52,D
18.60057,77.93145,337.97,0.41,0.45,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299.26,8.73,D
18.60135,77.93474,330.85,0.41,0.45,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.12,6.81,D
18.61089,77.8734,331.55,0.41,0.45,2025-11-05,0739,N21,VIIRS,n,2.0NRT,297.47,3.98,D
18.02748,74.85182,339.84,0.33,0.55,2025-11-05,0739,N21,VIIRS,n,2.0NRT,295.16,4.09,D
18.81209,78.74813,330.81,0.55,0.42,2025-11-05,0739,N21,VIIRS,n,2.0NRT,296.34,3.99,D
18.7432,77.83854,331.73,0.41,0.45,2025-11-05,0739,N21,VIIRS,n,2.0NRT,297.41,3.5,D
20.08221,85.58271,331.17,0.43,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.04,1.96,D
19.69973,82.22681,329.8,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,299.97,2.34,D
18.38089,74.67128,332.24,0.33,0.56,2025-11-05,0739,N21,VIIRS,n,2.0NRT,293.5,3.72,D
19.85233,82.22218,330.75,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.98,2.4,D
20.00558,82.09236,329.46,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.03,2.41,D
19.98823,81.91971,331.48,0.39,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,301.16,5.67,D
18.6251,74.31344,367,0.35,0.57,2025-11-05,0739,N21,VIIRS,h,2.0NRT,294.95,6.62,D
20.79241,85.25266,333.37,0.42,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,308.22,6.87,D
20.79585,85.25211,333.83,0.42,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,307.82,6.57,D
20.95122,86.04758,342.89,0.45,0.39,2025-11-05,0739,N21,VIIRS,n,2.0NRT,305.56,12.17,D
21.0024,86.02735,330.33,0.45,0.39,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.43,1.72,D
20.88759,84.98129,331.5,0.41,0.37,2025-11-05,0739,N21,VIIRS,l,2.0NRT,306.32,3.67,D
19.05532,74.15163,332.42,0.35,0.57,2025-11-05,0739,N21,VIIRS,n,2.0NRT,294.28,3.39,D
20.9623,85.18894,347.25,0.42,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,311.67,9.68,D
20.96346,85.17236,336.69,0.42,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,308.36,6.72,D
20.97089,85.17528,345.09,0.42,0.38,2025-11-05,0739,N21,VIIRS,n,2.0NRT,310.22,6.08,D
20.96807,85.1553,332.73,0.42,0.38,2025-11-05,0739,N21,VIIRS,l,2.0NRT,305.56,2.79,D
19.05237,74.15189,332.4,0.35,0.57,2025-11-05,0739,N21,VIIRS,n,2.0NRT,295.29,3.18,D
21.08043,85.0328,340.9,0.42,0.37,2025-11-05,0739,N21,VIIRS,n,2.0NRT,307.58,5.66,D
19.4102,74.95064,339.13,0.61,0.53,2025-11-05,0739,N21,VIIRS,n,2.0NRT,296.41,6.2,D
21.06746,82.85426,330.25,0.38,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.8,2.2,D
21.35206,83.61183,331.72,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,300.87,4.36,D
22.05395,88.12401,335.61,0.4,0.44,2025-11-05,0739,N21,VIIRS,n,2.0NRT,308.21,5.9,D
21.74862,83.97504,331.02,0.39,0.37,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.23,4.72,D
21.73375,83.84997,332.77,0.39,0.36,2025-11-05,0739,N21,VIIRS,l,2.0NRT,305.84,2.82,D
21.47278,81.93111,334.03,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,303.7,3.85,D
21.33122,81.05823,331.63,0.41,0.37,2025-11-05,0739,N21,VIIRS,l,2.0NRT,302.37,3.74,D
22.36567,87.30315,333.3,0.54,0.42,2025-11-05,0739,N21,VIIRS,l,2.0NRT,304.79,5.7,D
21.6369,82.0652,331.07,0.39,0.36,2025-11-05,0739,N21,VIIRS,n,2.0NRT,302.17,1.99,D
21.51278,81.28932,329.45,0.4,0.37,2025-11-05,0739,N21,VIIRS,l,2.0NRT,302.97,2.81,D
22.37856,87.28002,336.63,0.54,0.42,2025-11-05,0739,N21,VIIRS,n,2.0NRT,306.47,7.08,D
21.91885,83.35146,333.39,0.39,0.36,2025-11-05,0739,N21,VIIRS,l,2.0NRT,307.75,4.46,D
