latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
14.19186,79.83707,335.25,0.58,0.52,2026-06-07,0726,N21,VIIRS,n,2.0NRT,290.57,4.9,D
14.14563,79.98159,330.71,0.57,0.52,2026-06-07,0726,N21,VIIRS,n,2.0NRT,289.69,8.21,D
14.14662,79.98677,335.55,0.57,0.52,2026-06-07,0726,N21,VIIRS,n,2.0NRT,289.92,8.21,D
14.14482,79.98487,335.65,0.57,0.52,2026-06-07,0726,N21,VIIRS,n,2.0NRT,293.69,14.53,D
13.49945,79.78596,330.71,0.6,0.53,2026-06-07,0726,N21,VIIRS,n,2.0NRT,284.27,7.65,D
13.37284,79.69121,340.35,0.62,0.54,2026-06-07,0726,N21,VIIRS,n,2.0NRT,288.69,9.37,D
13.41941,79.96487,334.38,0.59,0.53,2026-06-07,0726,N21,VIIRS,n,2.0NRT,294.45,5.92,D
13.46264,80.19544,332.61,0.57,0.52,2026-06-07,0726,N21,VIIRS,n,2.0NRT,294.67,7.81,D
13.35525,80.30767,330.53,0.56,0.52,2026-06-07,0726,N21,VIIRS,n,2.0NRT,298.01,4.61,D
12.97358,79.58253,337.71,0.32,0.54,2026-06-07,0726,N21,VIIRS,n,2.0NRT,293,4.36,D
12.37496,79.50674,348.65,0.33,0.55,2026-06-07,0726,N21,VIIRS,n,2.0NRT,295.65,3.25,D
12.35936,79.56184,332.76,0.33,0.55,2026-06-07,0726,N21,VIIRS,n,2.0NRT,296.55,1.42,D
12.29553,79.97637,339.18,0.62,0.54,2026-06-07,0726,N21,VIIRS,n,2.0NRT,294.95,5.92,D
12.24208,79.79489,331.65,0.32,0.54,2026-06-07,0726,N21,VIIRS,n,2.0NRT,293.58,7,D
11.72604,79.1706,332.49,0.36,0.57,2026-06-07,0726,N21,VIIRS,n,2.0NRT,295.39,2.03,D
11.72483,79.27637,335.62,0.35,0.57,2026-06-07,0726,N21,VIIRS,n,2.0NRT,296.09,4.95,D
11.42907,79.37859,348.27,0.35,0.57,2026-06-07,0726,N21,VIIRS,n,2.0NRT,292.83,5.16,D
11.35526,79.16204,332.5,0.36,0.58,2026-06-07,0726,N21,VIIRS,n,2.0NRT,294.25,3.4,D
25.88619,78.17943,339.92,0.45,0.47,2026-06-07,0729,N21,VIIRS,l,2.0NRT,311.83,10.59,D
25.98005,78.45433,341.1,0.43,0.46,2026-06-07,0729,N21,VIIRS,l,2.0NRT,312.42,10.86,D
25.14465,74.50303,337.18,0.39,0.59,2026-06-07,0729,N21,VIIRS,n,2.0NRT,299.39,2.8,D
26.38696,80.14603,339.74,0.52,0.41,2026-06-07,0729,N21,VIIRS,n,2.0NRT,307.93,4.87,D
26.01152,78.1684,339.77,0.45,0.47,2026-06-07,0729,N21,VIIRS,l,2.0NRT,311.81,9.51,D
26.09364,78.33663,336.69,0.44,0.46,2026-06-07,0729,N21,VIIRS,l,2.0NRT,309.17,4.26,D
25.2739,73.072,335.23,0.48,0.64,2026-06-07,0729,N21,VIIRS,l,2.0NRT,306.29,4.13,D
26.60411,79.07973,335.24,0.39,0.44,2026-06-07,0729,N21,VIIRS,l,2.0NRT,307.68,4.7,D
26.72726,78.10091,345.44,0.44,0.46,2026-06-07,0729,N21,VIIRS,n,2.0NRT,314.28,11.54,D
26.73142,78.09987,346.56,0.44,0.46,2026-06-07,0729,N21,VIIRS,n,2.0NRT,315.09,9.64,D
26.99852,77.74706,338.8,0.45,0.47,2026-06-07,0729,N21,VIIRS,l,2.0NRT,310.93,5.33,D
27.14296,78.29395,332.78,0.42,0.45,2026-06-07,0729,N21,VIIRS,l,2.0NRT,305.65,3.88,D
27.9457,80.06902,332.53,0.49,0.41,2026-06-07,0729,N21,VIIRS,l,2.0NRT,304.78,4.32,D
27.74952,78.34935,335.21,0.41,0.45,2026-06-07,0729,N21,VIIRS,l,2.0NRT,305.45,3.53,D
28.11002,80.12284,345.99,0.49,0.4,2026-06-07,0729,N21,VIIRS,n,2.0NRT,304.44,11.82,D
28.12996,80.14871,336.24,0.49,0.4,2026-06-07,0729,N21,VIIRS,n,2.0NRT,305.22,7.29,D
28.27985,80.14127,335.4,0.48,0.4,2026-06-07,0729,N21,VIIRS,n,2.0NRT,303.08,1.89,D
28.28349,80.14043,336.22,0.48,0.4,2026-06-07,0729,N21,VIIRS,n,2.0NRT,304.71,2.03,D
28.28271,80.13721,339.17,0.48,0.4,2026-06-07,0729,N21,VIIRS,l,2.0NRT,305,5.29,D
28.30444,80.17258,337.82,0.48,0.4,2026-06-07,0729,N21,VIIRS,l,2.0NRT,306.33,10.05,D
18.09011,79.69765,330.07,0.51,0.49,2026-06-07,0729,N21,VIIRS,n,2.0NRT,296.35,2.61,D
24.82427,79.97134,340.34,0.56,0.43,2026-06-07,0729,N21,VIIRS,n,2.0NRT,306.48,8.82,D
23.24635,72.39053,330.24,0.58,0.7,2026-06-07,0729,N21,VIIRS,n,2.0NRT,299.18,5.15,D
