latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.14959,92.72532,356.17,0.64,0.72,2024-04-05,0606,N20,VIIRS,l,2,289.87,29.63,D,0
22.14467,92.73335,356.25,0.64,0.72,2024-04-05,0606,N20,VIIRS,l,2,288.98,29.63,D,0
22.14313,92.72713,349.89,0.64,0.72,2024-04-05,0606,N20,VIIRS,n,2,289.93,29.63,D,0
22.13675,92.72926,350.04,0.64,0.72,2024-04-05,0606,N20,VIIRS,n,2,290.38,90.81,D,0
22.13807,92.7346,351.66,0.64,0.72,2024-04-05,0606,N20,VIIRS,n,2,292.95,90.81,D,0
22.14499,92.73011,356.58,0.64,0.72,2024-04-05,0606,N20,VIIRS,l,2,289.27,24.83,D,0
22.14355,92.72409,355.16,0.64,0.72,2024-04-05,0606,N20,VIIRS,n,2,289.95,24.83,D,0
22.13335,92.73903,338.88,0.64,0.72,2024-04-05,0606,N20,VIIRS,n,2,288.97,53.86,D,0
22.13211,92.73389,343.46,0.64,0.72,2024-04-05,0606,N20,VIIRS,n,2,289.14,90.88,D,0
22.13987,92.73746,356.4,0.64,0.72,2024-04-05,0606,N20,VIIRS,l,2,289.44,53.86,D,0
22.13721,92.72644,334.24,0.64,0.72,2024-04-05,0606,N20,VIIRS,n,2,289.65,90.88,D,0
23.16694,93.3344,348.14,0.56,0.69,2024-04-05,0606,N20,VIIRS,n,2,294.35,16.41,D,0
23.16788,93.33826,367,0.56,0.69,2024-04-05,0606,N20,VIIRS,h,2,293.57,16.41,D,0
23.16847,93.3341,354.2,0.56,0.69,2024-04-05,0606,N20,VIIRS,n,2,295.9,20.79,D,0
23.16941,93.33804,355.78,0.56,0.69,2024-04-05,0606,N20,VIIRS,n,2,292.89,19.47,D,0
25.77109,91.37502,338.06,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,290.9,6.8,D,0
25.76213,91.26007,333.74,0.65,0.73,2024-04-05,0607,N20,VIIRS,n,2,291.57,5.62,D,0
25.76873,91.2586,338.56,0.65,0.73,2024-04-05,0607,N20,VIIRS,n,2,291.78,8.65,D,0
25.7813,91.28017,331.59,0.65,0.73,2024-04-05,0607,N20,VIIRS,n,2,291.09,11.05,D,0
25.75731,91.18751,327.43,0.66,0.73,2024-04-05,0607,N20,VIIRS,n,2,290.52,4.6,D,0
25.76328,91.07471,330.06,0.67,0.74,2024-04-05,0607,N20,VIIRS,n,2,289.35,7.53,D,0
25.76633,91.07189,334.93,0.67,0.73,2024-04-05,0607,N20,VIIRS,n,2,288.59,8.07,D,0
25.18349,92.93309,355.08,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,290.45,15.61,D,0
25.2381,93.05134,332.67,0.52,0.67,2024-04-05,0607,N20,VIIRS,n,2,292.23,4.2,D,0
25.24526,93.05451,367,0.52,0.67,2024-04-05,0607,N20,VIIRS,h,2,292.69,35.24,D,0
25.24421,93.05022,344.46,0.52,0.67,2024-04-05,0607,N20,VIIRS,n,2,297.05,54.06,D,0
25.35697,93.41322,330.76,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,292.55,23.13,D,0
25.35575,93.40807,355.03,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,297.55,18.87,D,0
25.36131,93.40527,347.48,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,292.99,18.87,D,0
25.36937,93.41292,340.06,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,290.26,5.54,D,0
25.3646,93.39292,335.04,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,294.18,5.13,D,0
25.36342,93.38796,334.06,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,294.38,5.13,D,0
25.35449,93.41228,351.96,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,291.9,11.76,D,0
25.35321,93.40708,355.13,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,293.91,11.76,D,0
25.36004,93.4095,367,0.49,0.65,2024-04-05,0607,N20,VIIRS,h,2,292.37,11.76,D,0
25.35878,93.40437,350.67,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,293.31,11.76,D,0
25.36689,93.41197,337,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,291.93,4.48,D,0
