latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.55438,79.14233,338.32,0.79,0.78,2024-05-04,0702,N20,VIIRS,n,2,295.2,7.04,D,0
14.55157,79.14378,339.34,0.79,0.78,2024-05-04,0702,N20,VIIRS,n,2,294.78,5.02,D,0
14.94343,79.344,332.26,0.76,0.77,2024-05-04,0702,N20,VIIRS,n,2,295.46,5.18,D,0
15.02308,79.61203,341.63,0.72,0.76,2024-05-04,0702,N20,VIIRS,n,2,294.62,4.55,D,0
14.94102,79.34,340.63,0.76,0.77,2024-05-04,0702,N20,VIIRS,n,2,295.73,7.24,D,0
15.02385,79.61407,338.92,0.72,0.76,2024-05-04,0702,N20,VIIRS,n,2,294.15,6.37,D,0
18.58921,82.40958,352.34,0.4,0.6,2024-05-04,0703,N20,VIIRS,n,2,300.48,5.58,D,0
18.81705,83.4863,350.85,0.34,0.56,2024-05-04,0703,N20,VIIRS,n,2,303.05,4.97,D,0
18.59136,82.39275,334.1,0.4,0.6,2024-05-04,0703,N20,VIIRS,n,2,301.39,3.32,D,0
18.88643,83.49907,343.5,0.34,0.56,2024-05-04,0703,N20,VIIRS,n,2,302.7,3.04,D,0
18.91075,83.56636,334.55,0.33,0.55,2024-05-04,0703,N20,VIIRS,n,2,301.13,2.02,D,0
17.93479,79.03588,336.4,0.69,0.74,2024-05-04,0703,N20,VIIRS,n,2,298.57,2.72,D,0
18.93837,83.41786,344.93,0.34,0.56,2024-05-04,0703,N20,VIIRS,n,2,300.52,3.87,D,0
18.85291,82.91691,331.76,0.37,0.58,2024-05-04,0703,N20,VIIRS,n,2,301.1,3.72,D,0
18.85243,82.91529,330.36,0.37,0.58,2024-05-04,0703,N20,VIIRS,l,2,301.59,3.69,D,0
18.90484,83.06126,332.93,0.36,0.57,2024-05-04,0703,N20,VIIRS,n,2,295.85,4.33,D,0
19.24771,84.37428,335.28,0.58,0.52,2024-05-04,0703,N20,VIIRS,n,2,298.81,3.59,D,0
18.26935,79.72475,333.04,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,298.16,3.78,D,0
19.01459,82.82981,331.04,0.37,0.58,2024-05-04,0703,N20,VIIRS,l,2,304.94,1.62,D,0
19.04662,82.9586,339.83,0.36,0.58,2024-05-04,0703,N20,VIIRS,n,2,302.3,5.21,D,0
19.01843,82.82188,332.02,0.37,0.58,2024-05-04,0703,N20,VIIRS,l,2,303.77,1.55,D,0
19.07962,82.8802,341.1,0.37,0.58,2024-05-04,0703,N20,VIIRS,n,2,306.17,2.99,D,0
19.26505,83.72269,346.97,0.32,0.55,2024-05-04,0703,N20,VIIRS,n,2,300.95,4.34,D,0
19.21428,83.47538,331.65,0.33,0.55,2024-05-04,0703,N20,VIIRS,l,2,304.87,1.44,D,0
19.16409,83.23271,344.17,0.35,0.56,2024-05-04,0703,N20,VIIRS,n,2,304.09,5.5,D,0
19.29913,83.68765,337.28,0.32,0.55,2024-05-04,0703,N20,VIIRS,n,2,299.23,3.55,D,0
19.62741,85.28347,338.27,0.5,0.49,2024-05-04,0703,N20,VIIRS,n,2,303.28,5.66,D,0
18.10083,78.10387,339.44,0.78,0.78,2024-05-04,0703,N20,VIIRS,n,2,304.12,5.13,D,0
19.17258,82.96147,333.37,0.36,0.57,2024-05-04,0703,N20,VIIRS,l,2,308.29,3.57,D,0
18.1377,78.23043,334.76,0.77,0.77,2024-05-04,0703,N20,VIIRS,n,2,304.29,4.24,D,0
19.29988,83.51102,337.71,0.33,0.55,2024-05-04,0703,N20,VIIRS,n,2,305.75,2.11,D,0
19.59456,84.91608,338.19,0.53,0.5,2024-05-04,0703,N20,VIIRS,n,2,305.44,3.97,D,0
19.59431,84.91336,339.81,0.53,0.5,2024-05-04,0703,N20,VIIRS,n,2,304.98,5.44,D,0
18.098,78.10376,341.58,0.78,0.78,2024-05-04,0703,N20,VIIRS,n,2,304.46,5.74,D,0
19.52336,84.53362,334.89,0.56,0.51,2024-05-04,0703,N20,VIIRS,l,2,304.92,4.7,D,0
18.13566,78.23003,334.34,0.77,0.77,2024-05-04,0703,N20,VIIRS,n,2,303.45,5.88,D,0
19.52042,84.27368,335.16,0.58,0.52,2024-05-04,0703,N20,VIIRS,n,2,303.16,6.46,D,0
19.39693,83.63261,334.61,0.32,0.55,2024-05-04,0703,N20,VIIRS,l,2,304.78,1.97,D,0
19.35285,83.33793,367,0.34,0.56,2024-05-04,0703,N20,VIIRS,h,2,303.2,14.45,D,0
19.35844,83.33952,367,0.34,0.56,2024-05-04,0703,N20,VIIRS,h,2,300.57,77.93,D,0
19.55341,84.31588,333.27,0.58,0.52,2024-05-04,0703,N20,VIIRS,n,2,303.02,5.18,D,0
19.30203,82.98321,350.73,0.36,0.57,2024-05-04,0703,N20,VIIRS,n,2,303.94,11.08,D,0
