cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,forest_distance_km,farmland_distance_km,population_distance_km,industrial_feature_count,forest_feature_count,farmland_feature_count,population_feature_count,land_cover_type
2,21.71673144736842,84.44593750000001,76,22,827.5513888888889,471.7680720291142,0.0265844517879889,1.0,0.0918371970857801,0.0021152020602999,26.069430587560117,3.2442105263157894,10.34,318.32394736842105,367.0,48.55263157894737,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
6,21.774256842105263,84.00547605263158,38,22,828.5375,687.0700175539149,0.0265528114297783,1.0,0.0458639470150717,0.0014533404660691,25.940311019752414,3.6994736842105262,12.66,317.4986842105264,349.44,49.473684210526315,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
8,21.528289178082193,84.89126520547946,73,23,828.5375,729.5755858593233,0.0277597574038592,1.0,0.0881070561079009,0.0013687837635906,26.08043603765734,3.405479452054794,12.06,316.817397260274,347.94,49.178082191780824,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
9,22.20721163636364,85.31751636363636,55,25,822.0263888888888,820.8657982339693,0.0304126489586202,1.0,0.0669078277089644,0.001216743660764,26.1039839112463,4.344727272727272,39.29,321.7605454545455,367.0,48.0,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
12,21.45678341269841,83.63112325396825,126,25,827.5513888888889,529.4090351252225,0.0302096043045329,1.0,0.152256405694846,0.0018853374165542,26.32463589170419,6.201825396825397,23.16,328.20444444444445,356.0,49.04761904761905,2,INDUSTRIAL,6.978,4.835,,1.436,17.0,2.0,0.0,63.0,population
13,21.97730257142857,82.159786,35,15,785.0208333333334,622.5099223324988,0.019107773148271,1.0,0.0445848040126323,0.0016038237150406,25.716771678780525,5.1242857142857146,11.32,328.96742857142857,345.71,47.142857142857146,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
14,20.982009,83.9123085,40,18,826.5645833333333,674.1801212306518,0.0217768827299742,1.0,0.048393072733276,0.0014810862591411,25.803910888915237,2.631,6.65,314.462,339.49,47.5,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
17,22.223775813953488,86.67841883720929,86,33,828.0180555555555,542.2490748268517,0.0398542033939812,1.0,0.1038624694509815,0.0018407762596166,26.492097800639225,3.5209302325581397,9.71,316.84627906976743,367.0,49.41860465116279,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
18,21.718730925925932,83.66004833333336,54,20,785.0208333333334,312.89122941027,0.0254770308643613,1.0,0.0687879833337756,0.0031858169528303,25.999997223321884,3.6864814814814815,9.82,319.11759259259264,347.49,47.03703703703704,2,INDUSTRIAL,,14.714,14.895,,0.0,1.0,1.0,0.0,forest
19,21.022616363636363,82.86737909090908,66,18,827.5513888888889,266.2928143528192,0.0217509150992637,1.0,0.0797533553639669,0.0037412154248188,25.926735149884205,14.272121212121217,63.61,332.5739393939394,367.0,49.84848484848485,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
22,19.761339999999997,82.07109200000001,10,6,767.0472222222222,291.1828772494395,0.0078222041957434,1.0,0.0130370069929056,0.0034225140412533,25.33570892417963,6.686,25.71,332.45099999999996,343.74,48.0,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
26,19.95296552631579,83.32848684210526,38,19,828.5368055555556,434.5191803274216,0.0229319927281444,1.0,0.0458639854562888,0.0022961101259609,25.84854194800427,3.5702631578947357,12.17,317.828947368421,348.65,47.89473684210526,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
32,20.71257301886792,84.74443528301884,53,21,820.5027777777777,432.6219070992908,0.0255940632606701,1.0,0.0645945406102626,0.0023061565470469,25.9754313802867,3.225471698113208,12.44,317.44660377358497,367.0,49.81132075471698,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
34,21.01456138211382,85.05466967479674,123,31,822.0256944444444,1425.9743610855555,0.0377117165673889,1.0,0.1496303592835111,0.0007007834389114,26.519443064008673,4.1361788617886175,24.74,317.67821138211383,367.0,49.43089430894309,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
39,21.003445202492212,85.06834473520249,321,32,826.5638888888889,845.6265046338883,0.038714490712891,1.0,0.3883547349636884,0.0011811583910102,27.155944726616156,3.655576323987539,11.28,320.218722741433,367.0,49.59501557632399,2,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
