cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,persistence_label,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,industrial_feature_count,forest_distance_km,forest_feature_count,farmland_distance_km,farmland_feature_count,population_distance_km,population_feature_count,land_cover_type
0,26.269883269230768,74.18913846153845,52,33,74.99722222222222,0.587811267239028,0.4400162968998852,1.0,0.6933590132967888,0.6297977729675983,54.38324387744154,MEDIUM / RECURRENT,1.9667307692307692,4.48,308.12403846153853,318.39,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
1,21.233035625,79.62970562500001,32,26,74.00902777777777,0.342294210403324,0.3513084927702138,1.0,0.432379683409494,0.7449931559337698,53.06041973245187,MEDIUM / RECURRENT,1.5515625000000002,4.43,306.30718750000005,319.7,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
2,21.2482375,79.2153871153846,104,52,75.98333333333333,3.921827020019044,0.6843606053959201,1.0,1.3687212107918405,0.2031765838036564,55.75359528651401,MEDIUM / RECURRENT,1.5029807692307693,4.11,308.9780769230769,335.67,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
3,22.26492585365854,75.13315512195123,41,34,76.05347222222223,0.3984028383277516,0.4470538820457098,1.0,0.5390943871727677,0.7151015233892313,56.02710511373,MEDIUM / RECURRENT,1.6039024390243903,2.6,305.88658536585365,314.08,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
4,24.661466341463413,74.63335036585367,82,54,75.06805555555556,0.4178170621705083,0.7193472589687135,1.0,1.092342133989528,0.7053096105848238,66.4680305435805,MEDIUM / RECURRENT,2.1115853658536587,4.38,307.46390243902437,316.78,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
5,24.714936538461533,75.95314615384615,26,24,74.01041666666667,0.2642383316494716,0.3242786769880366,1.0,0.3513019000703729,0.7909900965392216,52.87215942550646,MEDIUM / RECURRENT,1.307307692307692,1.87,305.38884615384615,310.54,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
6,24.933415,74.6337925,36,29,71.96736111111112,0.2886806597218946,0.402960446961875,1.0,0.500226761745776,0.775987435254756,55.62381787225229,MEDIUM / RECURRENT,1.4824999999999997,4.75,307.8808333333333,331.71,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
7,21.374264349112423,81.6640126923077,338,60,73.02361111111111,3.884137865447812,0.8216520531791468,1.0,4.628639899575861,0.2047444252289371,67.1099901650006,MEDIUM / RECURRENT,1.9714792899408284,6.32,308.21976331360946,335.99,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
8,21.486736428571422,81.76892557142858,70,50,73.02361111111111,0.8836976149821805,0.6847100443159557,1.0,0.958594062042338,0.5308707682413559,61.49945503997025,MEDIUM / RECURRENT,1.7084285714285712,4.91,308.8739999999999,330.34,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
9,21.672485373134332,82.08134582089552,67,48,73.02361111111111,0.4099855848574924,0.6573216425433175,1.0,0.9175114593833806,0.7092271089431529,64.02582258664593,MEDIUM / RECURRENT,1.7313432835820894,2.94,307.04447761194035,315.7,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
10,22.35768,82.30187871060171,349,63,73.47222222222223,1.2199722786737843,0.8574669187145557,1.0,4.750094517958412,0.4504560753332477,73.52065269759123,HIGH / PERSISTENT,5.834097421203438,27.61,325.3746991404011,367.0,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
11,23.166465384615385,82.34028034615385,260,61,73.025,1.1070972727014208,0.8353303663129065,1.0,3.560424512153372,0.4745865380566612,70.8491426063917,HIGH / PERSISTENT,2.951,10.24,316.24388461538456,341.56,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
12,22.00428924528302,82.67010396226416,106,56,72.03541666666666,0.5063254642032857,0.7773953784307488,1.0,1.4714983948867746,0.6638671547180625,68.429178129211,MEDIUM / RECURRENT,2.2506603773584906,5.51,310.15273584905657,331.72,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
13,22.31969412765957,82.56119855319149,235,58,73.02291666666666,4.934896766009088,0.7942712048158398,1.0,3.218167812615903,0.168494927447988,62.60572634274596,MEDIUM / RECURRENT,1.7104680851063832,5.83,309.005744680851,337.36,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
14,21.192021583333332,81.39495570833333,240,57,71.96736111111112,5.524728747999178,0.7920257060974786,1.0,3.3348450783051726,0.153263076308981,62.45585139620171,MEDIUM / RECURRENT,3.689,26.58,314.5047083333333,367.0,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
15,24.134144074074076,82.57165925925926,27,24,71.96597222222222,1.8396477207324335,0.3334909438295491,1.0,0.3751773118082427,0.3521563582337843,44.46566482232639,MEDIUM / RECURRENT,1.1681481481481482,4.51,307.1933333333333,337.39,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
16,24.166994222222225,80.69486,45,43,71.96597222222222,0.3195340429492386,0.5975046076946088,1.0,0.6252955196804045,0.7578432745584489,62.32011779984109,MEDIUM / RECURRENT,1.3022222222222222,1.96,305.3813333333333,313.22,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
17,24.205941818181817,82.52529681818181,22,19,50.96111111111111,0.2724868463357244,0.3728333151640685,1.0,0.4317017333478687,0.7858627402551293,54.62982430254072,MEDIUM / RECURRENT,1.0995454545454544,1.5,303.7972727272727,311.99,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
18,26.25821727272728,74.09635,11,10,69.00416666666666,0.238386649430611,0.1449187850975182,1.0,0.1594106636072701,0.8075022453284545,46.541023712196775,MEDIUM / RECURRENT,1.0,1.43,302.9918181818182,307.57,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
