cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,forest_distance_km,farmland_distance_km,population_distance_km,industrial_feature_count,forest_feature_count,farmland_feature_count,population_feature_count,land_cover_type
0,25.54704,93.17924,3,2,2.042361111111111,0.4044403692793245,0.9792587555253316,0.0680787037037037,1.4688881332879973,0.7120273824891125,48.99249824135479,33.160000000000004,45.63,346.52,355.52,43.333333333333336,1,INDUSTRIAL,,4.817,,,0.0,2.0,0.0,0.0,forest
1,27.542900000000003,96.32136,3,1,1.0,0.3126602844731885,1.0,0.0333333333333333,3.0,0.7618117283112067,53.56956789955747,18.14,25.49,339.70666666666665,346.6,50.0,1,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
2,27.5996775,96.2724225,4,1,1.0,0.4042366974867317,1.0,0.0333333333333333,4.0,0.7121306556008509,55.075946445350354,78.4375,150.72,335.6875,367.0,52.5,1,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
3,23.759016666666668,92.28926666666666,3,2,2.042361111111111,0.294834709902643,0.9792587555253316,0.0680787037037037,1.4688881332879973,0.7722993462811858,50.19793751719626,9.806666666666668,12.61,338.92,346.54,50.0,1,INDUSTRIAL,,9.554,,6.519,0.0,3.0,0.0,6.0,population
4,23.66788,92.0066525,4,1,1.0,0.5423407570528609,1.0,0.0333333333333333,4.0,0.6483651524004477,53.800636381342294,54.0,94.34,356.425,367.0,47.5,1,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
5,27.987016666666666,94.58871333333332,3,1,1.0,0.4148203659964399,1.0,0.0333333333333333,3.0,0.7068035095011603,52.46940352335654,23.45,25.66,340.1433333333334,347.6,50.0,1,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
6,9.006599999999999,78.03653666666666,3,1,1.0,0.2979949156990774,1.0,0.0333333333333333,3.0,0.77041904240543,53.741714181441935,4.523333333333333,6.05,332.17,347.46,50.0,1,INDUSTRIAL,,,,,0.0,0.0,0.0,0.0,unknown
7,17.608627058823533,81.4672394117647,17,2,1.0,1.6045606296610406,1.0,0.0333333333333333,17.0,0.3839419165796653,63.51217166492664,5.405882352941177,13.32,339.96352941176474,353.55,44.11764705882353,1,INDUSTRIAL,,13.706,,14.406,0.0,1.0,0.0,4.0,forest
8,17.60654428571429,81.42335714285714,7,2,1.0,1.494050087330901,1.0,0.0333333333333333,7.0,0.4009542571256804,56.352418475846946,2.7142857142857144,3.96,334.58714285714285,338.43,32.857142857142854,1,INDUSTRIAL,,9.567,,11.511,0.0,3.0,0.0,19.0,forest
9,15.764148333333331,78.79277,6,2,1.0,0.7709653868027408,1.0,0.0333333333333333,6.0,0.564663774601138,57.126608825356094,3.696666666666667,5.16,336.2916666666667,345.15,36.666666666666664,1,INDUSTRIAL,,5.835,,14.45,0.0,21.0,0.0,1.0,forest
