cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,forest_distance_km,farmland_distance_km,population_distance_km,industrial_feature_count,forest_feature_count,farmland_feature_count,population_feature_count,land_cover_type
0,30.396316666666667,76.91065,3,2,25.939583333333335,0.4068566090187386,0.0771022407838727,0.8646527777777778,0.1156533611758091,0.7108044939259908,38.434609949419965,4.383333333333334,6.92,341.1933333333333,347.69,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
1,31.032815,74.24405166666668,6,4,17.97361111111111,0.752351571035022,0.2225484892975813,0.5991203703703704,0.3338227339463719,0.5706617419296475,33.90225561164558,4.173333333333335,5.58,333.55,339.8,46.666666666666664,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
2,31.0630225,74.2827275,4,2,37.989583333333336,0.4612431208462595,0.0526460104195228,1.0,0.1052920208390457,0.6843488162468565,40.52958668962043,4.592499999999999,7.15,335.47249999999997,342.1,45.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
3,31.108804000000003,74.63516200000001,5,4,11.981944444444444,1.0643820325423956,0.3338356323171438,0.3993981481481481,0.4172945403964298,0.4844064636468702,30.731388297146506,6.8199999999999985,11.28,333.40999999999997,336.95,46.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
4,31.331453999999997,74.46294800000001,5,4,34.959722222222226,0.5579919428774375,0.1144173850860116,1.0,0.1430217313575146,0.6418518430545357,41.62711274206485,4.9159999999999995,6.99,335.324,338.95,50.0,1,AGRICULTURAL,8.83,9.136,12.696,4.075,4.0,12.0,3.0,39.0,population
5,31.81408,74.31572200000001,5,3,10.009027777777778,0.8682828818546904,0.2997294109484493,0.3336342592592592,0.4995490182474155,0.5352508497039139,29.286628349631783,3.9620000000000006,5.04,333.36199999999997,336.45,38.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
6,31.92058,74.31495424242424,33,19,39.96597222222222,3.1941050935943034,0.475404423902278,1.0,0.8257024204618513,0.2384298861579099,46.09498649138117,6.328484848484848,18.7,336.24818181818176,353.25,48.78787878787879,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
7,31.412575000000004,76.835429,10,9,53.989583333333336,0.2031266780699708,0.1666988230754389,1.0,0.1852209145282654,0.8311676718898611,47.087370416381056,0.736,1.22,299.937,306.7,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
8,31.32725333333333,76.89493166666666,6,6,47.011805555555554,0.2092139729080812,0.127627516728954,1.0,0.127627516728954,0.826983497052275,45.68756423473651,0.745,0.99,300.8666666666667,303.79,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
9,31.622766666666667,74.42656333333333,12,12,58.00763888888889,0.8046980092183023,0.2068693060061534,1.0,0.2068693060061534,0.5541093273733626,42.80543899266724,0.5216666666666666,1.16,300.9466666666667,306.01,50.0,1,AGRICULTURAL,4.787,7.289,1.577,1.102,22.0,23.0,24.0,146.0,population
10,29.123815238095236,75.77841857142857,21,21,58.99583333333333,0.2503204752177768,0.3559573416201709,1.0,0.3559573416201709,0.7997949484317797,52.56451257129115,1.1538095238095238,1.96,306.09476190476187,318.34,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
11,27.66738043478261,76.13150804347825,46,29,58.99583333333333,0.5254265305993173,0.4915601384278551,1.0,0.7797160816441839,0.6555543514816902,54.80718138657992,1.4217391304347824,2.81,303.8236956521739,317.57,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
12,30.899203333333332,74.39023666666667,3,3,37.00277777777778,0.6156610919358083,0.081074994369792,1.0,0.081074994369792,0.6189416858469047,40.01377103395634,5.763333333333333,8.28,342.3866666666666,346.37,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
13,30.940896666666664,74.34438666666667,3,1,1.0,0.288560790346866,1.0,0.0333333333333333,3.0,0.7760596220926537,53.85452577518641,6.289999999999999,9.17,333.56333333333333,337.51,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
14,31.03621,74.32521799999999,5,4,14.025,0.8636007085696318,0.285204991087344,0.4675,0.35650623885918,0.5365956319943285,31.86682796965484,9.16,16.39,339.338,348.78,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
15,31.056009999999997,74.36591,6,5,14.025,0.7033527359888228,0.35650623885918,0.4675,0.427807486631016,0.5870774613336236,35.19375510902541,7.421666666666667,19.07,336.9066666666667,342.65,43.333333333333336,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
16,31.09045,74.30618333333332,3,2,10.995138888888889,0.4138449113879232,0.181898566285606,0.3665046296296296,0.272847849428409,0.7072911547408225,29.447515447696393,18.016666666666666,25.95,339.0833333333333,344.2,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
17,31.478786000000003,74.59179,5,2,7.964583333333334,1.038728824306076,0.2511116923881768,0.2654861111111111,0.6277792309704421,0.490501722484044,25.549986076530068,12.044,15.9,341.74,367.0,52.0,1,AGRICULTURAL,6.543,2.964,6.133,0.528,14.0,31.0,36.0,116.0,population
18,31.877976,74.736028,5,3,25.022222222222226,0.8773325895444727,0.1198934280639431,0.8340740740740741,0.1998223801065719,0.5326706655865628,35.601623955767835,4.418,5.62,335.83000000000004,340.15,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
19,31.9490475,74.888275,4,3,29.038194444444443,0.4517272245618278,0.1033122085376061,0.9679398148148148,0.1377496113834748,0.6888346399247477,41.41892845345219,5.234999999999999,7.29,331.46750000000003,333.47,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
20,31.253607083333332,76.92718500000001,24,20,52.019444444444446,0.8668946052754652,0.3844716185187163,1.0,0.4613659422224595,0.5356488776464419,48.40054096404647,0.6875,1.28,298.37333333333333,305.13,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
21,28.83625,77.13907499999999,4,3,10.995833333333334,0.2669347310581457,0.2728306176582039,0.3665277777777778,0.3637741568776051,0.7893066434170596,34.04368123472577,0.9875,1.25,307.28999999999996,316.18,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
22,30.1895475,76.89299749999999,4,3,8.035416666666666,0.5959015852241083,0.3733471610059632,0.2678472222222222,0.4977962146746176,0.6266050546341005,31.67318701510301,6.405000000000001,8.92,334.83500000000004,337.75,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
23,31.00596,74.32247249999999,4,3,18.042361111111113,0.6680884829308458,0.1662753550671644,0.601412037037037,0.2217004734228859,0.5994885824299868,32.56758441009781,4.4275,7.07,338.5625,345.43,45.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
24,31.8269204,74.35292199999999,25,12,40.03472222222222,3.107202062877734,0.2997398091934085,1.0,0.6244579358196011,0.2434747511057063,40.42283413746539,7.994,19.37,340.09399999999994,367.0,51.2,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
25,28.773756875,76.69981375,16,15,53.00416666666667,1.092206641483255,0.2829966197625972,1.0,0.3018630610801037,0.4779642603997553,43.80384145357328,1.005625,2.21,306.25625,331.73,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
26,31.992886666666664,74.43144333333332,6,4,25.020833333333332,0.7677541538800083,0.1598667776852622,0.8340277777777777,0.2398001665278934,0.5656895206865276,37.55998860505259,3.401666666666667,4.62,330.87833333333333,334.46,46.666666666666664,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
27,31.641287142857145,74.43294714285715,7,5,37.00277777777778,0.3963834468173877,0.13512499061632,1.0,0.1891749868628481,0.7161356733919915,43.84940065348655,0.4985714285714285,0.81,300.0128571428572,306.27,50.0,1,AGRICULTURAL,6.723,8.714,3.704,2.265,19.0,8.0,24.0,72.0,population
28,31.612745714285712,74.40572785714286,14,12,51.02777777777778,0.9447936775299624,0.2351660315732172,1.0,0.2743603701687534,0.514193362285133,43.02474911832106,0.5614285714285715,0.96,300.36857142857144,304.1,50.0,1,AGRICULTURAL,2.638,7.952,0.575,1.874,20.0,9.0,21.0,156.0,farmland
29,29.45606384615385,76.86788153846153,13,6,52.015972222222224,0.5431603111104808,0.1153491849458633,1.0,0.2499232340493705,0.6480208133919575,42.04569990133847,2.1669230769230765,3.32,310.2976923076923,329.94,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
30,30.453196,76.56094599999999,5,2,1.5048611111111112,0.1381319649537537,1.0,0.050162037037037,3.3225657591139823,0.8786327339823317,57.13312000335752,1.618,2.39,317.13599999999997,331.29,50.0,1,AGRICULTURAL,0.283,1.843,,0.431,43.0,13.0,0.0,231.0,industrial
31,29.544055,75.168185,4,2,40.03472222222222,0.3212929867748179,0.049956634865568,1.0,0.0999132697311361,0.7568344114509596,41.88517044931408,1.5175,2.53,301.41749999999996,307.25,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
32,28.859323333333332,77.15749666666666,3,3,32.986111111111114,0.1406207725000861,0.0909473684210526,1.0,0.0909473684210526,0.8767155781392053,45.49010103646832,0.7800000000000001,1.34,304.2,313.93,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
33,28.728296666666665,77.157195,6,6,52.015972222222224,0.177982418191235,0.1153491849458633,1.0,0.1153491849458633,0.8489091047177741,45.72703060509604,0.4933333333333333,0.58,299.5466666666667,304.34,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
34,28.74340571428571,76.93023357142859,14,11,32.986111111111114,0.6556816902432335,0.3334736842105263,1.0,0.4244210526315789,0.6039808291007263,48.14487973990926,1.4049999999999998,2.93,307.4507142857143,314.02,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
35,28.714829166666664,76.836685,12,8,48.986111111111114,0.9196194392666918,0.1633115962574425,1.0,0.2449673943861638,0.5209365875050771,40.93049812379023,1.1866666666666663,3.01,306.1608333333333,328.24,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
36,28.295353333333335,77.19579666666667,3,2,5.004166666666666,0.2043408457148791,0.3996669442131557,0.1668055555555555,0.5995004163197336,0.8303297223191118,34.26549270246513,1.153333333333333,1.45,313.0733333333333,317.3,50.0,1,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
37,31.478005,75.23638166666666,6,5,15.011805555555556,1.2323978747665598,0.3330711939677105,0.5003935185185185,0.3996854327612527,0.4479488227897409,32.460163819692234,6.485,11.17,344.8883333333333,367.0,48.333333333333336,1,AGRICULTURAL,,,11.32,10.95,0.0,0.0,1.0,12.0,population
38,31.61541500000001,74.37516000000002,14,14,48.0,0.2809124610592908,0.2916666666666667,1.0,0.2916666666666667,0.7806934746914856,50.09303616049638,0.8571428571428571,1.48,302.15214285714285,316.48,50.0,1,AGRICULTURAL,2.803,10.578,3.104,4.358,12.0,9.0,20.0,129.0,industrial
