cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,persistence_label,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,industrial_feature_count,forest_distance_km,forest_feature_count,farmland_distance_km,farmland_feature_count,population_distance_km,population_feature_count,land_cover_type
0,24.134144074074076,82.57165925925926,27,24,71.96597222222222,1.8396477207324335,0.3334909438295491,1.0,0.3751773118082427,0.3521563582337843,44.46566482232639,MEDIUM / RECURRENT,1.1681481481481482,4.51,307.1933333333333,337.39,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
1,24.166994222222225,80.69486,45,43,71.96597222222222,0.3195340429492386,0.5975046076946088,1.0,0.6252955196804045,0.7578432745584489,62.32011779984109,MEDIUM / RECURRENT,1.3022222222222222,1.96,305.3813333333333,313.22,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
2,24.205941818181817,82.52529681818181,22,19,50.96111111111111,0.2724868463357244,0.3728333151640685,1.0,0.4317017333478687,0.7858627402551293,54.62982430254072,MEDIUM / RECURRENT,1.0995454545454544,1.5,303.7972727272727,311.99,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
3,26.759990689655176,83.20006051724138,58,49,72.95208333333333,0.5819675923173943,0.6716737584601765,1.0,0.7950424079732701,0.6321242008093977,62.74115037824066,MEDIUM / RECURRENT,1.8653448275862068,4.38,309.961724137931,332.79,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
4,24.15009716981132,82.62992396226412,53,33,71.96666666666667,3.042901259366625,0.4585456229735988,1.0,0.7364520611394164,0.2473471242175881,47.46894341070656,MEDIUM / RECURRENT,1.3250943396226418,3.54,307.3435849056604,333.27,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
5,24.18040958333334,82.67166041666667,24,18,65.45555555555555,1.0609091783617854,0.2749957562383296,1.0,0.3666610083177729,0.4852227407686635,45.062628300350354,MEDIUM / RECURRENT,0.96375,2.16,306.84499999999997,328.49,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
6,24.449183939393937,83.0395787878788,33,31,71.96666666666667,0.3235860515507191,0.4307549791570171,1.0,0.4585456229735988,0.7555232233132071,56.10397998270694,MEDIUM / RECURRENT,1.246060606060606,2.16,303.8090909090909,308.12,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
7,26.640337974683547,79.47403126582277,79,43,72.03680555555556,6.694414361887787,0.5969170852091427,1.0,1.0966616216633087,0.1299644070318374,50.68470936628336,MEDIUM / RECURRENT,3.4537974683544306,24.89,317.09594936708856,367.0,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
8,28.34903425531915,77.23186744680851,47,30,71.96527777777777,1.9519356802717975,0.4168677024027791,1.0,0.6530927337643541,0.3387607686316273,47.671770424258526,MEDIUM / RECURRENT,1.0944680851063828,2.42,304.9057446808511,322.42,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
9,28.833473,77.14524300000001,10,9,67.03125,1.914492525371038,0.1342657342657342,1.0,0.1491841491841491,0.3431129060359117,36.85992711838723,LOW / TRANSIENT,1.2580000000000002,3.06,305.271,311.36,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
10,23.989170967741934,79.39228161290323,31,27,64.00069444444445,0.3046141874613204,0.4218704224129512,1.0,0.4843697442519069,0.7665101373348726,56.06440701965455,MEDIUM / RECURRENT,1.353225806451613,2.26,305.84903225806454,313.72,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
11,24.0100275,80.52953749999999,20,20,69.99097222222223,0.2531501518095035,0.2857511385396926,1.0,0.2857511385396926,0.797988970879536,51.53257154355935,MEDIUM / RECURRENT,0.9635,1.68,305.7219999999999,309.61,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
12,24.3262488,81.3281004,25,22,70.97847222222222,0.2523673710727668,0.3099531352424933,1.0,0.3522194718664697,0.7984877465654577,52.52255360852936,MEDIUM / RECURRENT,1.1792000000000002,1.78,304.3048,314.07,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
13,29.599453333333333,77.00600000000001,3,2,25.022222222222226,1.0150589000794674,0.0799289520426287,1.0,0.1198934280639431,0.4962634094519833,37.96256836665956,LOW / TRANSIENT,2.8866666666666667,3.72,332.11999999999995,332.32,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
14,24.20622268292683,82.70958902439024,41,29,69.99375,0.3666688769688321,0.4143227073845879,1.0,0.5857665863023483,0.7317061336890354,55.30695060484598,MEDIUM / RECURRENT,1.3717073170731708,2.58,305.3260975609756,311.24,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
15,29.565078000000007,77.03833999999999,5,4,12.052777777777775,1.5269490719660452,0.3318737036183453,1.0,0.4148421295229316,0.395734132948698,45.3599465446619,MEDIUM / RECURRENT,5.845999999999999,11.28,335.816,340.22,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
16,29.065610000000003,78.86181,3,2,68.41944444444445,0.2399470136246723,0.0292314562949129,1.0,0.0438471844423693,0.8064860748176265,42.24051683555922,MEDIUM / RECURRENT,1.5833333333333333,2.87,312.65000000000003,326.52,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
17,28.270166521739135,77.27231739130436,23,21,66.96180555555556,3.145101803888377,0.3136116152450091,1.0,0.3434793881254861,0.241248598300272,41.48833727583173,MEDIUM / RECURRENT,0.971304347826087,4.48,307.34782608695656,335.97,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
18,29.993685,77.07802333333335,6,5,19.03125,3.146356181771923,0.2627257799671593,1.0,0.3152709359605911,0.24117561448198,39.64945646041136,LOW / TRANSIENT,2.64,3.22,331.8683333333333,334.27,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
19,29.9930325,77.17658,4,4,17.972916666666666,1.6829441318672815,0.2225570882114292,1.0,0.2225570882114292,0.3727248689684856,40.689109643192594,MEDIUM / RECURRENT,3.72,5.12,334.4575,340.74,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
20,28.65761,77.568534,5,4,64.00138888888888,1.4402629731717391,0.0624986436926282,1.0,0.0781233046157852,0.4097918998870219,35.539537136213994,LOW / TRANSIENT,2.202,5.72,316.71799999999996,344.34,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
21,29.02237,77.1217,6,5,11.984027777777778,2.751123442441009,0.417221996870835,1.0,0.5006663962450021,0.2665868013528393,45.93583871002602,MEDIUM / RECURRENT,5.28,6.18,336.11999999999995,339.66,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
22,30.0807,77.02028600000001,5,3,20.01597222222222,1.1334387051033248,0.1498803039239496,1.0,0.249800506539916,0.4687268481667341,40.119948613752754,MEDIUM / RECURRENT,5.808,7.97,340.404,353.53,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
23,30.21999428571429,77.01591571428571,7,5,48.9875,2.145348070095841,0.1020668537892319,1.0,0.1428935953049247,0.3179298372435866,35.216723818104704,LOW / TRANSIENT,3.608571428571429,8.08,335.4542857142857,346.06,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
24,28.069785,77.8573825,8,7,64.00138888888888,0.1966251815045208,0.1093726264620993,1.0,0.1249972873852564,0.835683566965135,45.791707840246694,MEDIUM / RECURRENT,0.84,1.31,301.4125,307.07,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
25,28.7657,77.56766857142857,7,7,64.47083333333333,2.774852634054102,0.108576229561171,1.0,0.108576229561171,0.2649110036716913,34.31554056719716,LOW / TRANSIENT,2.4585714285714286,8.2,317.5828571428571,338.26,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
26,28.795066,77.071552,5,5,42.99513888888889,0.1766113463224076,0.116292216497343,1.0,0.116292216497343,0.8498983144481647,46.300778299364985,MEDIUM / RECURRENT,0.926,1.07,307.634,310.97,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
27,29.9662575,77.02250000000001,4,3,11.981944444444444,1.520811048138281,0.2503767242378579,1.0,0.3338356323171438,0.3966977218457288,42.36481104987389,MEDIUM / RECURRENT,5.2025,9.41,335.96000000000004,344.01,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
28,28.7971625,77.14186791666667,24,16,58.00972222222222,2.6235740764423947,0.2758158354681926,1.0,0.4137237532022889,0.2759706242798255,41.00041423338783,MEDIUM / RECURRENT,3.357083333333333,22.04,315.14666666666665,350.81,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
29,28.728071999999997,77.156472,5,5,59.984027777777776,0.2425286380155301,0.0833555228822487,1.0,0.0833555228822487,0.8048104240052947,44.180362826749096,MEDIUM / RECURRENT,0.634,1.13,302.02,305.07,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
30,28.798852,77.236466,5,4,9.022222222222222,1.2299579647000682,0.4433497536945813,1.0,0.5541871921182266,0.448438946307448,50.594394689695754,MEDIUM / RECURRENT,2.3879999999999995,3.78,331.15,331.85,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
