cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,persistence_label,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,industrial_feature_count,forest_distance_km,forest_feature_count,farmland_distance_km,farmland_feature_count,population_distance_km,population_feature_count,land_cover_type
0,29.04443,78.06863333333334,6,5,42.00555555555555,2.6025382485474418,0.1190318740907287,1.0,0.1428382489088745,0.2775820632586494,35.00343335616625,LOW / TRANSIENT,5.594999999999999,10.08,334.6233333333334,341.09,,1,WILDFIRE,,0,,0,,0,,0,unknown
1,29.175562222222226,79.42421,9,1,1.0,0.6007668600294517,1.0,0.1428571428571428,9.0,0.624700588805044,69.06544034752945,MEDIUM / RECURRENT,12.69,19.11,344.9877777777778,356.1,,1,WILDFIRE,,0,,0,,0,,0,unknown
2,29.354084285714286,79.30184000000001,7,3,5.000694444444444,1.5279838022927994,0.5999166782391335,0.7143849206349205,1.399805582557978,0.3955721548108941,49.56776101557653,MEDIUM / RECURRENT,2.3871428571428575,4.51,322.5371428571429,339.39,,1,WILDFIRE,,0,,0,,0,,0,unknown
3,29.523154909090906,79.80417581818182,110,28,43.97986111111111,13.40496022037826,0.6366550346591716,1.0,2.5011447790181744,0.069420531865498,53.67362640841732,MEDIUM / RECURRENT,3.1724545454545456,29.44,319.4783636363637,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
4,29.313125434241503,80.04312545375042,14865,45,44.56666666666667,184.25644575997703,1.0,1.0,333.54525056095736,0.0053979228409446,80.10795845681888,HIGH / PERSISTENT,3.543563403969055,130.78,321.17967574840236,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
5,28.932055,79.62042124999999,8,3,8.031944444444445,1.7867122309038994,0.3735085595711568,1.0,0.9960228255230849,0.3588458072241063,47.24176138051879,MEDIUM / RECURRENT,2.0875,4.65,316.925,338.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
6,29.89748806818182,80.32976045454546,88,23,30.49375,8.669645962498793,0.7542529206804673,1.0,2.885837261733962,0.1034164026147637,59.23885479957955,MEDIUM / RECURRENT,2.7488636363636365,12.52,314.4639772727273,355.35,,1,WILDFIRE,,0,,0,,0,,0,unknown
7,30.094136666666667,79.566745,6,3,16.46736111111111,0.8401782725259792,0.1821785518491966,1.0,0.3643571036983933,0.5434256098607871,42.97347571933441,MEDIUM / RECURRENT,3.696666666666666,5.7,331.3516666666667,348.29,,1,WILDFIRE,,0,,0,,0,,0,unknown
8,30.702606666666668,78.05313000000001,3,3,29.506944444444443,0.8479801866801875,0.1016709814073899,1.0,0.1016709814073899,0.5411313428616649,39.58445316930673,LOW / TRANSIENT,2.48,4.1,322.0266666666667,334.38,,1,WILDFIRE,,0,,0,,0,,0,unknown
9,28.754439999999995,80.04895133333335,15,3,3.545138888888889,2.099079189472596,0.8462291870714985,0.5064484126984127,4.2311459353574925,0.3226764915839988,57.195053567357725,MEDIUM / RECURRENT,5.939333333333332,16.82,331.59266666666673,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
10,28.803154545454547,79.96180909090909,11,5,21.589583333333337,3.7310807191146806,0.2315931680015439,1.0,0.5095049696033966,0.2113681966912473,38.35213475308578,LOW / TRANSIENT,4.21,17.99,323.9018181818182,367.0,,1,WILDFIRE,,0,,0,,0,,0,unknown
11,28.90630230769231,80.00518846153847,13,4,15.528472222222222,2.1886710265887506,0.2575913420687805,1.0,0.8371718617235365,0.313610275773667,41.96224621132773,MEDIUM / RECURRENT,2.6823076923076923,10.96,316.4523076923077,351.55,,1,WILDFIRE,,0,,0,,0,,0,unknown
