detection_count,mean_frp,max_frp,mean_brightness,max_brightness,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,land_cover_code,is_cropland,is_tree_cover,is_built_up,cropland_percentage,tree_cover_percentage,built_up_percentage,grassland_percentage,shrubland_percentage,bare_sparse_percentage,nearest_industrial_distance_km,nearby_industrial_facility_count,nearby_industrial_capacity_mw,cluster_id,centroid_lat,centroid_lon,fire_class
36,5.580000000000002,13.53,330.2655555555555,367.0,2,2,1.768213380401214,1.0,0.0666666666666666,18.0,0.3612438286296643,87.22487657259329,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,22.0,52.86513,49.91567805555556,INDUSTRIAL
3,2.013333333333333,2.07,329.24666666666667,337.22,1,1,1.1506694060463476,1.0,0.2,3.0,0.4649715094233547,52.62428773558386,10.0,0,1,0,0.2722704883542486,94.0768792851662,0.0915818915373381,5.546892403653375,0.0123759312888294,0.0,81.90202012934168,0,0.0,125.0,30.02471,78.46425666666666,WILDFIRE
2,1.04,1.04,310.21000000000004,310.3,1,1,0.3648342085742452,1.0,0.2,2.0,0.7326897243033172,57.317243107582925,40.0,1,0,0,94.61151951684364,5.170664092472959,0.0346526076087225,0.1311848716615925,0.0519789114130838,0.0,121.80390618196076,0,0.0,297.0,23.18203,76.710655,AGRICULTURAL
6,2.7216666666666662,4.86,318.37833333333333,350.58,1,1,1.3263138306342437,1.0,0.2,6.0,0.4298646153547396,57.746615383868495,10.0,0,1,0,1.8341130170045297,71.33239276255539,0.2524689982921215,26.581025222147968,0.0,0.0,83.51051049278186,0,0.0,133.0,29.926279999999995,78.973595,WILDFIRE
4,6.125000000000001,7.57,334.085,342.01,1,1,0.7075632462030911,1.0,0.2,4.0,0.5856298454675591,57.64074613668898,40.0,1,0,0,90.87151308135935,6.863691492784832,1.1460112373456102,1.1163090022524196,0.0024751862577658,0.0,70.7071900197834,0,0.0,478.0,23.3984325,79.98707999999999,AGRICULTURAL
5,2.116,6.74,310.936,340.98,2,2,1.413518987314433,1.0,0.4,2.5,0.4143327669084213,55.35831917271054,10.0,0,1,0,0.8712655627335957,86.53498675775352,0.1064330090839335,12.48731467042895,0.0,0.0,85.26231312941881,0,0.0,108.0,29.952022,78.959668,WILDFIRE
2,4.595,5.25,332.845,333.64,1,1,0.3842720682353772,1.0,0.2,2.0,0.7224013421543395,57.06003355385849,10.0,0,1,0,4.428108215143189,50.09776985718175,0.118808940372763,45.35531298730229,0.0,0.0,61.26351662715892,0,0.0,86.0,29.56645,79.77673,WILDFIRE
6,3.696666666666667,6.21,322.7516666666666,341.46,2,2,1.6331086196739524,1.0,0.4,3.0,0.3797792436393399,55.49448109098351,10.0,0,1,0,74.67884458305487,15.3288284943442,6.546867651790797,2.264795425855796,0.5470161629662632,0.6336476819880696,33.864641378380924,0,0.0,253.0,30.352251666666664,76.31813666666667,AGRICULTURAL
3,0.8566666666666666,1.17,305.1366666666667,306.31,1,1,0.8258059101703477,1.0,0.2,3.0,0.5477033426333361,54.6925835658334,10.0,0,1,0,7.940397514912997,82.92121482141532,0.4356327813667978,8.366129551248731,0.0,0.336625331056162,97.76598126904932,0,0.0,77.0,29.865663333333337,79.93222999999999,WILDFIRE
2,2.305,3.45,327.15,345.2,1,1,0.5294232759378542,1.0,0.2,2.0,0.653841232661241,55.34603081653102,10.0,0,1,0,0.0742555877329769,97.08423058835176,0.383653869953714,2.264795425855796,0.1930645281057399,0.0,27.986777246810604,0,0.0,53.0,29.31185,79.55986,WILDFIRE
19,3.527368421052632,7.13,317.3231578947368,343.46,5,5,2.692023294813372,1.0,1.0,3.8,0.2708541956939492,69.37135489234873,60.0,0,0,0,0.7970099750006189,19.88564639489121,27.717135714462515,18.192618994579345,0.0,28.175045172149204,16.20686707879648,0,0.0,2.0,23.7422,86.4258805263158,INDUSTRIAL
502,2.1640239043824705,13.81,310.5159362549801,345.55,74,89,0.6376782928519258,0.8314606741573034,1.0,5.640449438202247,0.6106205378460232,79.36864173856003,60.0,0,0,0,0.0024751862577658,3.4949629959654462,89.29729462142026,0.0321774213509566,0.0,7.096359001014826,0.4911658250697929,3,667.5,0.0,22.79118565737052,86.20249802788844,INDUSTRIAL
